neighbourhood,Entire home/apt,Hotel room,Private room,Shared room,total
Barking and Dagenham,68.0,2.0,77.0,2.0,149.0
Barnet,415.0,20.0,364.0,3.0,802.0
Bexley,49.0,2.0,41.0,1.0,93.0
Brent,731.0,8.0,611.0,3.0,1353.0
Bromley,165.0,14.0,115.0,3.0,297.0
Camden,2088.0,24.0,1308.0,6.0,3426.0
City of London,182.0,1.0,31.0,1.0,215.0
Croydon,277.0,8.0,176.0,3.0,464.0
Ealing,399.0,4.0,482.0,4.0,889.0
Enfield,141.0,19.0,151.0,2.0,313.0
Greenwich,524.0,1.0,332.0,4.0,861.0
Hackney,2286.0,4.0,1346.0,10.0,3646.0
Hammersmith and Fulham,1555.0,13.0,866.0,5.0,2439.0
Haringey,647.0,2.0,489.0,0.0,1138.0
Harrow,104.0,0.0,95.0,0.0,199.0
Havering,64.0,0.0,33.0,1.0,98.0
Hillingdon,145.0,5.0,155.0,1.0,306.0
Hounslow,278.0,1.0,269.0,0.0,548.0
Islington,1928.0,11.0,1102.0,5.0,3046.0
Kensington and Chelsea,1893.0,56.0,618.0,7.0,2574.0
Kingston upon Thames,143.0,0.0,153.0,1.0,297.0
Lambeth,1569.0,5.0,1335.0,8.0,2917.0
Lewisham,688.0,0.0,506.0,4.0,1198.0
Merton,289.0,1.0,336.0,6.0,632.0
Newham,467.0,5.0,459.0,5.0,936.0
Redbridge,151.0,0.0,133.0,1.0,285.0
Richmond upon Thames,349.0,1.0,346.0,1.0,697.0
Southwark,1646.0,1.0,1287.0,8.0,2942.0
Sutton,68.0,0.0,69.0,1.0,138.0
Tower Hamlets,2576.0,15.0,2129.0,6.0,4726.0
Waltham Forest,480.0,5.0,224.0,2.0,711.0
Wandsworth,1281.0,22.0,1036.0,4.0,2343.0
Westminster,2805.0,32.0,1494.0,7.0,4338.0
